,date_time,open,high,low,close,volume,SD,sdClosingPrice,multiplier,color,bullish_engulfing,bearish_engulfing,bullish_harami,bearish_harami,buy_sell
0,2019-01-02,69.85,69.85,65.35,65.85,5747418,,,0.6,yellow,False,False,False,False,
1,2019-01-03,64.6,65.15,60.3,61.4,13187774,,65.85,0.6,yellow,False,False,False,False,
2,2019-01-04,60.0,61.7,58.55,61.5,9635525,,61.4,0.6,yellow,False,False,False,False,
3,2019-01-07,62.6,63.75,61.6,62.9,7498902,,61.5,0.6,yellow,False,False,False,False,
4,2019-01-08,64.35,64.35,61.55,61.85,6499749,,62.9,0.6,yellow,False,True,False,False,
5,2019-01-09,63.35,66.0,62.4,63.55,11133982,,61.85,0.6,yellow,False,False,True,False,
6,2019-01-10,63.15,66.95,63.15,66.95,9963201,,63.55,0.6,yellow,False,False,False,False,
7,2019-01-11,67.1,69.0,67.05,68.75,7549721,,66.95,0.6,yellow,False,False,False,False,
8,2019-01-14,68.1,69.5,66.45,67.65,6580100,,68.75,0.6,yellow,False,False,False,True,
9,2019-01-15,67.75,69.5,66.95,69.5,6658771,,67.65,0.6,yellow,False,False,False,False,
10,2019-01-16,68.35,68.7,67.35,68.0,7685347,,69.5,0.6,yellow,False,False,False,True,
11,2019-01-17,68.65,68.65,65.95,66.55,8345724,,68.0,0.6,yellow,False,False,False,False,
12,2019-01-18,68.2,71.95,66.8,71.65,15565381,,66.55,0.6,yellow,False,False,False,False,
13,2019-01-21,74.0,76.5,72.0,75.6,14031794,,71.65,0.6,yellow,False,False,False,False,
14,2019-01-22,75.0,75.45,71.8,73.1,8546417,,75.6,0.6,yellow,False,False,False,False,
15,2019-01-23,70.95,73.4,70.4,70.8,7981032,,73.1,0.6,yellow,False,False,False,False,
16,2019-01-24,71.9,73.1,70.6,73.0,5071190,,70.8,0.6,yellow,False,False,False,False,
17,2019-01-25,74.5,77.65,74.5,76.55,16865872,,73.0,0.6,yellow,False,False,False,False,
18,2019-01-28,77.0,79.3,76.05,76.55,7846685,,76.55,0.6,yellow,False,False,False,False,
19,2019-01-29,75.15,75.95,73.45,75.85,5816394,,76.55,0.6,yellow,False,False,False,False,
20,2019-01-30,77.95,77.95,74.0,74.65,5745188,,75.85,0.6,yellow,False,True,False,False,
21,2019-01-31,77.3,77.95,76.0,77.1,8028622,,74.65,0.6,yellow,False,False,False,False,
22,2019-02-01,78.0,78.0,74.85,77.0,4552246,,77.1,0.6,yellow,False,False,False,False,
23,2019-02-04,77.0,78.5,76.4,78.0,3014715,,77.0,0.6,yellow,False,False,False,False,
24,2019-02-08,77.5,81.5,77.1,80.9,9367965,,78.0,0.6,yellow,False,False,False,False,
25,2019-02-11,82.55,87.4,81.45,87.05,16661185,,80.9,0.6,yellow,False,False,False,False,
26,2019-02-12,87.1,88.7,85.5,88.65,12039722,,87.05,0.6,yellow,False,False,False,False,
27,2019-02-13,89.5,94.1,87.65,93.35,17637518,,88.65,0.6,yellow,False,False,False,False,
28,2019-02-14,88.0,90.6,84.9,88.65,27663090,,93.35,0.6,yellow,False,False,False,False,
29,2019-02-15,86.05,86.65,84.0,84.85,14042722,,88.65,0.6,yellow,False,False,False,False,
30,2019-02-18,86.0,89.1,86.0,88.0,8020449,,84.85,0.6,yellow,False,False,False,False,
31,2019-02-19,89.4,89.4,86.3,87.45,5525764,,88.0,0.6,yellow,False,False,False,False,
32,2019-02-20,88.55,90.7,88.25,90.1,7737221,,87.45,0.6,yellow,False,False,False,False,
33,2019-02-21,90.55,95.4,89.7,94.35,13552563,,90.1,0.6,yellow,False,False,False,False,
34,2019-02-22,95.0,99.85,92.6,98.85,13414285,,94.35,0.6,yellow,False,False,False,False,
35,2019-02-25,104.0,105.5,96.4,96.85,16600155,,98.85,0.6,yellow,False,False,False,False,
36,2019-02-26,98.0,98.0,94.1,96.0,8526789,,96.85,0.6,yellow,False,False,False,False,
37,2019-02-27,95.35,96.8,91.9,93.55,9431915,,96.0,0.6,yellow,False,False,False,False,
38,2019-02-28,92.25,95.3,91.0,93.0,7084460,,93.55,0.6,yellow,False,False,False,False,
39,2019-03-01,94.8,97.0,92.8,94.8,4960283,,93.0,0.6,yellow,False,False,False,False,
40,2019-03-04,97.0,97.25,94.9,95.75,8207477,,94.8,0.6,yellow,False,False,False,False,
41,2019-03-05,95.75,97.7,95.0,97.1,6589652,,95.75,0.6,yellow,False,False,False,False,
42,2019-03-06,98.0,103.9,97.1,99.8,12262533,,97.1,0.6,yellow,False,False,False,False,
43,2019-03-07,99.9,100.1,93.0,94.2,9327598,,99.8,0.6,yellow,False,True,False,False,
44,2019-03-08,90.6,97.45,89.15,92.85,8678437,,94.2,0.6,yellow,False,False,False,False,
45,2019-03-11,90.15,92.95,89.9,92.0,7375483,,92.85,0.6,yellow,False,False,False,False,
46,2019-03-12,94.5,94.8,92.0,92.8,6033030,,92.0,0.6,yellow,False,False,False,False,
47,2019-03-13,93.65,94.7,91.55,94.55,4543360,,92.8,0.6,yellow,False,False,False,False,
48,2019-03-14,95.0,95.0,90.35,91.45,6144200,,94.55,0.6,yellow,False,True,False,False,
49,2019-03-15,93.0,97.5,91.85,96.15,12109712,12.273388376683029,91.45,0.6,yellow,False,False,False,False,
50,2019-03-18,97.5,99.75,96.6,98.35,6032725,12.274901429422599,96.15,0.6,yellow,False,False,False,False,
51,2019-03-19,99.2,99.2,95.1,97.25,5462001,12.06869808510379,98.35,0.6,yellow,False,True,False,False,
52,2019-03-20,92.0,98.0,90.1,95.6,16372644,11.782466392301503,97.25,0.6,yellow,False,False,False,False,
53,2019-03-21,95.6,96.0,91.65,92.75,11218800,11.453731278674288,95.6,0.6,yellow,False,False,False,False,
54,2019-03-22,94.0,94.0,90.0,92.7,9720894,11.037963247495497,92.75,0.6,yellow,False,False,False,False,
55,2019-03-25,89.35,92.3,89.3,91.1,5920811,10.624741485450512,92.7,0.6,yellow,False,False,False,False,
56,2019-03-26,92.75,93.8,91.7,92.8,4193296,10.325360892047334,91.1,0.6,yellow,False,False,False,False,
57,2019-03-27,92.15,94.0,92.15,92.7,3378992,10.05714290787338,92.8,0.6,yellow,False,False,False,False,
58,2019-03-28,93.2,93.5,92.3,92.8,2702823,9.71534658072853,92.7,0.6,yellow,False,False,False,False,
59,2019-03-29,93.05,94.0,91.1,93.75,4995614,9.421697981634889,92.8,0.6,yellow,False,False,False,False,
60,2019-04-01,95.65,99.0,95.5,96.9,10126416,9.078406821032164,93.75,0.6,yellow,False,False,False,False,
61,2019-04-02,97.0,98.6,96.6,97.0,4791225,8.611002454145869,96.9,0.6,yellow,False,False,False,False,
62,2019-04-03,98.3,99.2,97.3,98.3,7645116,8.3530102724853,97.0,0.6,yellow,False,False,False,False,
63,2019-04-04,98.8,100.0,97.1,99.65,6721011,8.241772892294673,98.3,0.6,yellow,False,False,False,False,
64,2019-04-08,103.6,104.8,101.8,104.0,14713770,8.125803194209201,99.65,0.6,yellow,False,False,False,False,
65,2019-04-09,103.5,107.5,103.1,107.2,11253847,7.966264072029383,104.0,0.6,yellow,False,False,False,False,
66,2019-04-10,108.0,108.4,104.3,107.7,8293393,7.8688616504211994,107.2,0.6,yellow,False,False,False,False,
67,2019-04-11,109.6,109.6,102.0,103.8,12564999,7.734602149313392,107.7,0.6,yellow,False,False,False,False,
68,2019-04-12,105.7,105.7,102.0,103.7,4959765,7.5550377840463145,103.8,0.6,yellow,False,False,False,False,
69,2019-04-15,104.6,105.7,100.5,100.9,8001892,7.226511917225074,103.7,0.6,yellow,False,False,False,False,
70,2019-04-16,99.8,100.2,96.35,98.5,9298766,6.735778366609291,100.9,0.6,yellow,False,False,False,False,
71,2019-04-17,99.0,99.15,97.15,98.3,7024453,6.313786664183104,98.5,0.6,yellow,False,False,False,False,
72,2019-04-18,97.8,102.0,97.8,99.55,8656051,5.842343760191195,98.3,0.6,yellow,True,False,False,False,
73,2019-04-23,99.3,102.0,98.9,101.1,6403833,5.388321555333679,99.55,0.6,yellow,False,False,False,False,
74,2019-04-24,102.4,103.4,100.0,100.4,5515898,5.0265427117108175,101.1,0.6,yellow,False,False,False,False,
75,2019-04-25,100.0,101.2,96.2,96.55,8010835,4.874830085997563,100.4,0.6,red,False,False,False,False,
76,2019-04-26,96.0,98.9,95.8,97.3,7040613,4.769378943867236,96.55,0.6,red,False,False,False,False,
77,2019-04-29,97.3,97.5,95.65,97.2,3248080,4.757742240232216,97.3,0.6,red,False,False,False,False,
78,2019-04-30,96.25,97.15,95.0,95.65,4467682,4.637961044797734,97.2,0.6,red,False,False,False,False,
79,2019-05-02,94.3,97.1,94.3,96.6,3016080,4.341454660759298,95.65,0.6,yellow,True,False,False,False,
80,2019-05-03,96.05,96.8,94.35,96.65,4077573,4.1690625628624565,96.6,0.6,yellow,False,False,False,False,buy
81,2019-05-06,91.25,92.6,89.95,91.05,14680624,4.037405334708759,96.65,0.6,red,False,False,False,False,
82,2019-05-07,91.8,94.35,90.85,93.3,8026931,3.9561810331868017,91.05,0.6,red,False,False,False,False,
83,2019-05-08,91.15,93.2,89.85,90.65,8174723,4.034912562591059,93.3,0.6,red,False,False,False,False,
84,2019-05-09,90.65,90.9,85.2,86.1,8543862,4.286717025550311,90.65,0.6,red,False,False,False,False,
85,2019-05-10,93.6,93.6,87.7,90.7,10779194,4.360379243008249,86.1,0.6,yellow,False,False,False,False,
86,2019-05-14,86.5,89.0,84.0,88.1,7308447,4.510215276096558,90.7,0.6,yellow,False,False,False,False,
87,2019-05-15,89.0,90.75,88.5,89.6,4945778,4.589562693142536,88.1,0.6,yellow,False,False,False,False,
88,2019-05-16,89.4,89.4,84.5,85.05,10477852,4.827644141730388,89.6,0.6,red,False,False,False,False,
89,2019-05-17,84.5,84.95,75.15,76.2,26014929,5.5701244810770545,85.05,0.6,red,False,False,False,False,
90,2019-05-20,75.0,75.2,71.4,72.4,17422925,6.455716024404664,76.2,0.6,red,False,False,False,False,
91,2019-05-21,71.7,75.3,70.8,72.15,18392174,7.211382796436114,72.4,0.6,red,False,False,False,False,
92,2019-05-22,73.5,74.5,70.3,73.55,11968944,7.7540269985264825,72.15,0.6,red,False,False,False,False,
93,2019-05-23,72.0,72.0,67.15,67.9,20526618,8.586935021369648,73.55,0.6,red,False,False,False,False,
94,2019-05-24,70.0,70.0,67.25,67.6,12657131,9.333893089385677,67.9,0.6,red,False,False,False,False,
95,2019-05-27,67.4,67.85,65.15,67.2,14737641,10.019736900289374,67.6,0.6,red,False,False,False,False,
