,0
1,-0.28158602150537637
2,-0.11461318051575932
3,-0.0971709717097172
5,-0.28988941548183245
6,-0.056074766355140186
11,-0.2294797687861271
12,-0.11241830065359469
16,-0.07077205882352944
17,-0.13412228796844192
19,-0.3030682529743268
27,-0.08870116156283006
66,-0.019753086419753017
83,-0.3206686930091186
101,0.09465020576131693
151,0.030534351145038198
175,-0.09244992295839762
267,-0.30489864864864863
288,0.15025906735751296
386,-0.3161764705882353
388,0.04144144144144139
669,0.25912408759124084
688,-0.03937007874015748
700,0.1409001956947162
762,-0.4275092936802974
823,-0.06713554987212277
857,-0.47300215982721383
883,-0.34628975265017664
939,-0.011164274322168963
941,-0.2956403269754769
1038,-0.19811320754716977
1044,0.007017543859649098
1088,-0.19184652278177455
1093,0.4531835205992509
1109,0.13805309734513269
1113,-0.2720720720720721
1177,1.1327967806841046
1299,0.07783955520254156
1398,-0.055248618784530364
1928,-0.1006097560975609
1997,-0.2832244008714597
2007,-0.030167597765363083
2018,-0.06912442396313365
2313,-0.052995391705069055
2318,0.1413767579570688
2319,0.08176100628930814
2382,0.593014426727411
2388,-0.20386643233743412
2628,-0.10493827160493824
3328,-0.21812080536912748
3988,-0.12349397590361438
