,stock,entry_time,entry_price,exit_time,exit_price,pnl
2018-03-21,669,2018-03-21,47.4,2018-05-07,44.6,-0.05907172995780585
2018-03-22,1038,2018-03-22,65.65,2018-07-09,61.0,-0.07083015993907091
2018-03-23,17,2018-03-23,11.2,2018-04-17,11.4,0.017857142857142953
2018-03-27,1044,2018-03-27,75.1,2018-04-12,80.0,0.06524633821571246
2018-03-27,2318,2018-03-27,85.6,2018-04-17,82.45,-0.03679906542056065
2018-03-27,2313,2018-03-27,83.25,2018-04-06,81.55,-0.020420420420420454
2018-03-28,1997,2018-03-28,51.0,2018-04-09,53.0,0.0392156862745098
2018-03-28,2018,2018-03-28,148.0,2018-06-11,127.0,-0.14189189189189189
2018-03-29,2319,2018-03-29,25.75,2018-04-06,26.85,0.0427184466019418
2018-04-03,1928,2018-04-03,42.25,2018-04-17,44.3,0.04852071005917153
2018-04-03,1398,2018-04-03,6.72,2018-04-17,6.66,-0.00892857142857137
2018-04-04,1093,2018-04-04,22.0,2018-05-24,23.5,0.06818181818181818
2018-04-04,1177,2018-04-04,16.04,2018-04-16,16.44,0.02493765586034926
2018-04-04,939,2018-04-04,8.12,2018-04-23,8.03,-0.011083743842364515
2018-04-06,2382,2018-04-06,142.0,2018-05-16,148.8,0.047887323943662054
2018-04-06,288,2018-04-06,8.3,2018-04-12,8.69,0.04698795180722876
2018-04-06,1088,2018-04-06,19.0,2018-04-26,20.4,0.07368421052631571
2018-04-06,175,2018-04-06,22.5,2018-04-12,23.7,0.0533333333333333
2018-04-06,2007,2018-04-06,15.62,2018-04-17,16.0,0.024327784891165223
2018-04-06,1109,2018-04-06,28.1,2018-05-11,29.5,0.049822064056939445
2018-04-09,883,2018-04-09,11.4,2018-04-16,12.3,0.07894736842105265
2018-04-09,700,2018-04-09,408.0,2018-06-11,420.0,0.029411764705882353
2018-04-09,16,2018-04-09,124.9,2018-04-16,129.0,0.032826261008807
2018-04-10,2,2018-04-10,80.3,2018-04-20,81.0,0.008717310087173136
2018-04-11,2388,2018-04-11,37.6,2018-04-23,39.1,0.03989361702127659
2018-04-11,151,2018-04-11,6.43,2018-04-27,7.11,0.10575427682737179
